iter	ts	refusing_pid	detached	blamed_pid	verdict	blamed_ps
1	1787157225	43101	0	42997	F2_own_launcher	bash ./run_loop.sh
2	1787157233	43382	0	43317	F2_own_launcher	bash ./run_loop.sh
3	1787157240	43584	0	43509	F2_own_launcher	bash ./run_loop.sh
4	1787157247	43799	0	43714	F2_own_launcher	bash ./run_loop.sh
5	1787157254	43990	0	43912	F2_own_launcher	bash ./run_loop.sh
6	1787157261	44236	0	44096	F2_own_launcher	bash ./run_loop.sh
7	1787157268	44413	0	44351	F2_own_launcher	bash ./run_loop.sh
8	1787157276	44592	0	44528	F2_own_launcher	bash ./run_loop.sh
9	1787157283	44757	0	44695	F2_own_launcher	bash ./run_loop.sh
10	1787157290	44928	0	44866	F2_own_launcher	bash ./run_loop.sh
11	1787157297	45100	0	45038	F2_own_launcher	bash ./run_loop.sh
12	1787157304	45276	0	45205	F2_own_launcher	bash ./run_loop.sh
13	1787157311	45464	0	45395	F2_own_launcher	bash ./run_loop.sh
14	1787157318	45899	0	45803	F2_own_launcher	bash ./run_loop.sh
15	1787157325	46101	0	46036	F2_own_launcher	bash ./run_loop.sh
16	1787157332	46299	0	46209	F2_own_launcher	bash ./run_loop.sh
17	1787157340	46508	0	46443	F2_own_launcher	bash ./run_loop.sh
18	1787157347	47445	0	47202	F2_own_launcher	bash ./run_loop.sh
19	1787157354	48012	0	47858	F2_own_launcher	bash ./run_loop.sh
20	1787157361	48555	0	48400	F2_own_launcher	bash ./run_loop.sh
21	1787157368	49088	0	48942	F2_own_launcher	bash ./run_loop.sh
22	1787157375	49664	0	49513	F2_own_launcher	bash ./run_loop.sh
23	1787157382	50414	0	50265	F2_own_launcher	bash ./run_loop.sh
24	1787157390	51002	0	50854	F2_own_launcher	bash ./run_loop.sh
25	1787157397	51622	0	51455	F2_own_launcher	bash ./run_loop.sh
26	1787157404	52246	0	52090	F2_own_launcher	bash ./run_loop.sh
27	1787157411	52857	0	52764	F2_own_launcher	bash ./run_loop.sh
28	1787157418	53751	0	53687	F2_own_launcher	bash ./run_loop.sh
29	1787157425	53939	0	53876	F2_own_launcher	bash ./run_loop.sh
30	1787157433	54121	0	54057	F2_own_launcher	bash ./run_loop.sh
