iteration	job_index	job_name	fuel_used	eval_us	raw_hash	canon_hash	alpha_hash	vm_rss_kb
0	0	P1_arith_ctl	696	1352.97	a14026e294e8de05	a14026e294e8de05	a14026e294e8de05	11752
0	1	P2_logic_rules	400	562.66	40651027eff58eb9	40651027eff58eb9	40651027eff58eb9	11752
0	2	P3_set_ops	229	439.53	bbdfed850ca973c4	bbdfed850ca973c4	bbdfed850ca973c4	11752
0	3	P4_kb_chain	297	414.53	439f6079b5f2b539	439f6079b5f2b539	439f6079b5f2b539	11752
0	4	P5_var_alias_probe	400	729.79	474b95118ba32eb9	113b4f0011965e8b	aadc571320e8f55b	11752
9	0	P1_arith_ctl	696	1193.28	a14026e294e8de05	a14026e294e8de05	a14026e294e8de05	11752
9	1	P2_logic_rules	400	546.09	40651027eff58eb9	40651027eff58eb9	40651027eff58eb9	11752
9	2	P3_set_ops	229	416.46	bbdfed850ca973c4	bbdfed850ca973c4	bbdfed850ca973c4	11752
9	3	P4_kb_chain	297	409.84	439f6079b5f2b539	439f6079b5f2b539	439f6079b5f2b539	11752
9	4	P5_var_alias_probe	400	711.41	f212598a3f1ae403	113b4f0011965e8b	aadc571320e8f55b	11752
49	0	P1_arith_ctl	696	1161.61	a14026e294e8de05	a14026e294e8de05	a14026e294e8de05	11880
49	1	P2_logic_rules	400	546.51	40651027eff58eb9	40651027eff58eb9	40651027eff58eb9	11880
49	2	P3_set_ops	229	414.69	bbdfed850ca973c4	bbdfed850ca973c4	bbdfed850ca973c4	11880
49	3	P4_kb_chain	297	428.96	439f6079b5f2b539	439f6079b5f2b539	439f6079b5f2b539	11880
49	4	P5_var_alias_probe	400	701.46	caabda2ebac438e9	113b4f0011965e8b	aadc571320e8f55b	11880
99	0	P1_arith_ctl	696	1190.37	a14026e294e8de05	a14026e294e8de05	a14026e294e8de05	11880
99	1	P2_logic_rules	400	544.38	40651027eff58eb9	40651027eff58eb9	40651027eff58eb9	11880
99	2	P3_set_ops	229	411.77	bbdfed850ca973c4	bbdfed850ca973c4	bbdfed850ca973c4	11880
99	3	P4_kb_chain	297	407.40	439f6079b5f2b539	439f6079b5f2b539	439f6079b5f2b539	11880
99	4	P5_var_alias_probe	400	710.62	33641a3156a7b041	113b4f0011965e8b	aadc571320e8f55b	11880
