pos	program	raw	canon	alpha
0	probe.metta	56377686fde0dfad	f1865d68983bfe33	2794056748bd68d8
1	integration_tests__das__animals.metta	bfd524b92a431914	bfd524b92a431914	bfd524b92a431914
2	probe.metta	ac9af0a797224c78	f1865d68983bfe33	2794056748bd68d8
3	integration_tests__das__test.metta	38c175ea4e18e8da	38c175ea4e18e8da	38c175ea4e18e8da
4	probe.metta	fa9d7dcde59cf74a	f1865d68983bfe33	2794056748bd68d8
5	lib__src__metta__runner__builtin_mods__catalog.metta	d61500655d53a338	d61500655d53a338	d61500655d53a338
6	probe.metta	c41f7a38f5c21742	f1865d68983bfe33	2794056748bd68d8
7	lib__src__metta__runner__builtin_mods__das.metta	57eaf9d69063e807	57eaf9d69063e807	57eaf9d69063e807
8	probe.metta	1df73740e094d57d	f1865d68983bfe33	2794056748bd68d8
9	lib__src__metta__runner__builtin_mods__fileio.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
10	probe.metta	5f6d0508b1bb1353	f1865d68983bfe33	2794056748bd68d8
11	lib__src__metta__runner__builtin_mods__json.metta	efed72346f079729	efed72346f079729	efed72346f079729
12	probe.metta	09cc0e0f525b011d	f1865d68983bfe33	2794056748bd68d8
13	lib__src__metta__runner__builtin_mods__random.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
14	probe.metta	6eb15e7b9b644814	f1865d68983bfe33	2794056748bd68d8
15	lib__src__metta__runner__builtin_mods__skel.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
16	probe.metta	d69191b21de74d12	f1865d68983bfe33	2794056748bd68d8
17	lib__src__metta__runner__environment.default.metta	891de85bb9af9758	891de85bb9af9758	891de85bb9af9758
18	probe.metta	0367e7d0440c41bb	f1865d68983bfe33	2794056748bd68d8
19	lib__src__metta__runner__init.default.metta	daf675a45af83329	daf675a45af83329	daf675a45af83329
20	probe.metta	457ecd924a24a7fb	f1865d68983bfe33	2794056748bd68d8
21	lib__src__metta__runner__stdlib__stdlib.metta	1826dce6ad1574e2	1826dce6ad1574e2	1826dce6ad1574e2
22	probe.metta	a3e72c0228fd09a1	f1865d68983bfe33	2794056748bd68d8
23	lib__tests__test_stdlib.metta	0d15f364539bc5df	0d15f364539bc5df	0d15f364539bc5df
24	probe.metta	844fdd1cf710b962	f1865d68983bfe33	2794056748bd68d8
25	mkdocs.metta	ec9bdc8b75da273d	ec9bdc8b75da273d	ec9bdc8b75da273d
26	probe.metta	cbf152d873f5b738	f1865d68983bfe33	2794056748bd68d8
27	python__hyperon__exts__agents__tests__agent.metta	891de85bb9af9758	891de85bb9af9758	891de85bb9af9758
28	probe.metta	918034b0554a65d8	f1865d68983bfe33	2794056748bd68d8
29	python__hyperon__exts__agents__tests__test_0_passive_agents.metta	8d894b9873025444	8d894b9873025444	8d894b9873025444
30	probe.metta	9646ccd8daab2998	f1865d68983bfe33	2794056748bd68d8
31	python__hyperon__exts__agents__tests__test_4_agent1.metta	8fffd50a1179c5fd	8fffd50a1179c5fd	8fffd50a1179c5fd
32	probe.metta	ed1bbe684bba27fb	f1865d68983bfe33	2794056748bd68d8
33	python__hyperon__exts__agents__tests__test_4_agent2.metta	8fffd50a1179c5fd	8fffd50a1179c5fd	8fffd50a1179c5fd
34	probe.metta	2cebd38ca57c9486	f1865d68983bfe33	2794056748bd68d8
