pos	program	raw	canon	alpha
0	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
1	integration_tests__das__animals.metta	bfd524b92a431914	bfd524b92a431914	bfd524b92a431914
2	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
3	integration_tests__das__test.metta	38c175ea4e18e8da	38c175ea4e18e8da	38c175ea4e18e8da
4	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
5	lib__src__metta__runner__builtin_mods__catalog.metta	d61500655d53a338	d61500655d53a338	d61500655d53a338
6	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
7	lib__src__metta__runner__builtin_mods__das.metta	57eaf9d69063e807	57eaf9d69063e807	57eaf9d69063e807
8	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
9	lib__src__metta__runner__builtin_mods__fileio.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
10	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
11	lib__src__metta__runner__builtin_mods__json.metta	efed72346f079729	efed72346f079729	efed72346f079729
12	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
13	lib__src__metta__runner__builtin_mods__random.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
14	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
15	lib__src__metta__runner__builtin_mods__skel.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
16	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
17	lib__src__metta__runner__environment.default.metta	891de85bb9af9758	891de85bb9af9758	891de85bb9af9758
18	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
19	lib__src__metta__runner__init.default.metta	daf675a45af83329	daf675a45af83329	daf675a45af83329
20	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
21	lib__src__metta__runner__stdlib__stdlib.metta	1826dce6ad1574e2	1826dce6ad1574e2	1826dce6ad1574e2
22	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
23	lib__tests__test_stdlib.metta	0d15f364539bc5df	0d15f364539bc5df	0d15f364539bc5df
24	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
25	mkdocs.metta	ec9bdc8b75da273d	ec9bdc8b75da273d	ec9bdc8b75da273d
26	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
27	python__hyperon__exts__agents__tests__agent.metta	891de85bb9af9758	891de85bb9af9758	891de85bb9af9758
28	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
29	python__hyperon__exts__agents__tests__test_0_passive_agents.metta	8d894b9873025444	8d894b9873025444	8d894b9873025444
30	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
31	python__hyperon__exts__agents__tests__test_4_agent1.metta	8fffd50a1179c5fd	8fffd50a1179c5fd	8fffd50a1179c5fd
32	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
33	python__hyperon__exts__agents__tests__test_4_agent2.metta	8fffd50a1179c5fd	8fffd50a1179c5fd	8fffd50a1179c5fd
34	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
35	python__hyperon__exts__agents__tests__test_4_events.metta	8d894b9873025444	8d894b9873025444	8d894b9873025444
36	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
37	python__hyperon__exts__snet_io__snet__naint__text-generation.metta	b5f7d4c8dd94823e	b5f7d4c8dd94823e	b5f7d4c8dd94823e
38	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
39	python__hyperon__exts__snet_io__test_snet_call.metta	16c890ec28555308	16c890ec28555308	16c890ec28555308
40	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
41	python__hyperon__exts__snet_io__test_snet_meta.metta	16c890ec28555308	16c890ec28555308	16c890ec28555308
42	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
43	python__sandbox__bhv_binding__01_example_majority.metta	70fae47c637e19cc	70fae47c637e19cc	70fae47c637e19cc
44	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
45	python__sandbox__bhv_binding__02_example_perm.metta	70fae47c637e19cc	70fae47c637e19cc	70fae47c637e19cc
46	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
47	python__sandbox__bhv_binding__03_example_dict.metta	70fae47c637e19cc	70fae47c637e19cc	70fae47c637e19cc
48	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
49	python__sandbox__bhv_binding__04_example_dollar_of_mexico.metta	70fae47c637e19cc	70fae47c637e19cc	70fae47c637e19cc
50	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
51	python__sandbox__jetta__enum_lambda.metta	3ac88d5295751b81	3ac88d5295751b81	3ac88d5295751b81
52	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
53	python__sandbox__jetta__test_basic_jetta.metta	3ac88d5295751b81	3ac88d5295751b81	3ac88d5295751b81
54	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
55	python__sandbox__jetta__test_expr_compile.metta	3ac88d5295751b81	3ac88d5295751b81	3ac88d5295751b81
56	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
57	python__sandbox__jetta__test_lambda.metta	3ac88d5295751b81	3ac88d5295751b81	3ac88d5295751b81
58	probe2.metta	ff79ef6ce913e162	ff79ef6ce913e162	f26dc6d59b07bc03
59	python__sandbox__jetta__test_nondet.metta	3ac88d5295751b81	3ac88d5295751b81	3ac88d5295751b81
60	probe2.metta	7f7f9a21b2789425	7f7f9a21b2789425	f26dc6d59b07bc03
