pos	program	raw	canon	alpha
0	probe.metta	56377686fde0dfad	f1865d68983bfe33	2794056748bd68d8
1	integration_tests__das__animals.metta	bfd524b92a431914	bfd524b92a431914	bfd524b92a431914
2	probe.metta	ac9af0a797224c78	f1865d68983bfe33	2794056748bd68d8
3	integration_tests__das__test.metta	0601ee88358e7610	0601ee88358e7610	0601ee88358e7610
4	probe.metta	675d988e1f821450	f1865d68983bfe33	2794056748bd68d8
5	lib__src__metta__runner__builtin_mods__catalog.metta	d61500655d53a338	d61500655d53a338	d61500655d53a338
6	probe.metta	a4ab4f3c2bdc7043	f1865d68983bfe33	2794056748bd68d8
7	lib__src__metta__runner__builtin_mods__das.metta	57eaf9d69063e807	57eaf9d69063e807	57eaf9d69063e807
8	probe.metta	b637633df5a9e6c2	f1865d68983bfe33	2794056748bd68d8
9	lib__src__metta__runner__builtin_mods__fileio.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
10	probe.metta	ad75fbea6c8331c5	f1865d68983bfe33	2794056748bd68d8
11	lib__src__metta__runner__builtin_mods__json.metta	efed72346f079729	efed72346f079729	efed72346f079729
12	probe.metta	ada8e86a80bcd2fc	f1865d68983bfe33	2794056748bd68d8
13	lib__src__metta__runner__builtin_mods__random.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
14	probe.metta	b7c2102df194f7ae	f1865d68983bfe33	2794056748bd68d8
15	lib__src__metta__runner__builtin_mods__skel.metta	17d53fc7a747525e	17d53fc7a747525e	17d53fc7a747525e
16	probe.metta	81ef3e7c26465e90	f1865d68983bfe33	2794056748bd68d8
17	lib__src__metta__runner__environment.default.metta	891de85bb9af9758	891de85bb9af9758	891de85bb9af9758
18	probe.metta	fd5324cc1b3167aa	f1865d68983bfe33	2794056748bd68d8
19	lib__src__metta__runner__init.default.metta	daf675a45af83329	daf675a45af83329	daf675a45af83329
20	probe.metta	6d60788b93e1e0c1	f1865d68983bfe33	2794056748bd68d8
21	lib__src__metta__runner__stdlib__stdlib.metta	1826dce6ad1574e2	1826dce6ad1574e2	1826dce6ad1574e2
22	probe.metta	4133368b5e785695	f1865d68983bfe33	2794056748bd68d8
23	lib__tests__test_stdlib.metta	0d15f364539bc5df	0d15f364539bc5df	0d15f364539bc5df
24	probe.metta	f97e6dbd37538876	f1865d68983bfe33	2794056748bd68d8
25	mkdocs.metta	6632c923ba762ea4	6632c923ba762ea4	6632c923ba762ea4
26	probe.metta	5d8b31895f7952a2	f1865d68983bfe33	2794056748bd68d8
27	python__hyperon__exts__agents__tests__agent.metta	891de85bb9af9758	891de85bb9af9758	891de85bb9af9758
28	probe.metta	4287f07756b80272	f1865d68983bfe33	2794056748bd68d8
29	python__hyperon__exts__agents__tests__test_0_passive_agents.metta	8d894b9873025444	8d894b9873025444	8d894b9873025444
30	probe.metta	f29ab3c560d53977	f1865d68983bfe33	2794056748bd68d8
31	python__hyperon__exts__agents__tests__test_4_agent1.metta	8fffd50a1179c5fd	8fffd50a1179c5fd	8fffd50a1179c5fd
32	probe.metta	8b9450f5e0b7a15c	f1865d68983bfe33	2794056748bd68d8
33	python__hyperon__exts__agents__tests__test_4_agent2.metta	8fffd50a1179c5fd	8fffd50a1179c5fd	8fffd50a1179c5fd
34	probe.metta	a5b20670ff6fdcad	f1865d68983bfe33	2794056748bd68d8
