name	origin	bytes	sha256_16	self_checking
mkdocs.metta	mkdocs.metta	2565	82606f0541c88bde	no
python__tests__test_include.metta	python/tests/test_include.metta	64	8fc439a1730cf3b8	no
python__tests__test_load.metta	python/tests/test_load.metta	63	49029b790718d2bd	no
python__tests__ext_sub__module.metta	python/tests/ext_sub/module.metta	33	c60490f420d2ab73	no
python__tests__scripts__a1_symbols.metta	python/tests/scripts/a1_symbols.metta	2436	4aa3530736de9e69	yes
python__tests__scripts__a2_opencoggy.metta	python/tests/scripts/a2_opencoggy.metta	915	d86f1e6430c70c30	yes
python__tests__scripts__a3_twoside.metta	python/tests/scripts/a3_twoside.metta	1611	385d4ed950960d5c	yes
python__tests__scripts__b0_chaining_prelim.metta	python/tests/scripts/b0_chaining_prelim.metta	1428	c3076e562213756f	yes
python__tests__scripts__b1_equal_chain.metta	python/tests/scripts/b1_equal_chain.metta	2578	f711928dd602d2c9	yes
python__tests__scripts__b2_backchain.metta	python/tests/scripts/b2_backchain.metta	2946	b6a735ab5f11c226	yes
python__tests__scripts__b3_direct.metta	python/tests/scripts/b3_direct.metta	1618	3e07fe6a54e99728	yes
python__tests__scripts__b4_nondeterm.metta	python/tests/scripts/b4_nondeterm.metta	4562	b7234d4ca820db63	yes
python__tests__scripts__b5_types_prelim.metta	python/tests/scripts/b5_types_prelim.metta	8400	6c0a579f955a4585	yes
python__tests__scripts__c1_grounded_basic.metta	python/tests/scripts/c1_grounded_basic.metta	5222	f191f22f7f4655dc	yes
python__tests__scripts__c2_spaces.metta	python/tests/scripts/c2_spaces.metta	1811	3ccf805c3cd2ae25	yes
python__tests__scripts__c2_spaces_kb.metta	python/tests/scripts/c2_spaces_kb.metta	264	0413b958037cac84	no
python__tests__scripts__c3_pln_stv.metta	python/tests/scripts/c3_pln_stv.metta	2708	fb1d38e28591e53b	yes
python__tests__scripts__d1_gadt.metta	python/tests/scripts/d1_gadt.metta	2467	cf4199bd9dbf56b4	yes
python__tests__scripts__d2_higherfunc.metta	python/tests/scripts/d2_higherfunc.metta	7205	d201caefb2142ecb	yes
python__tests__scripts__d3_deptypes.metta	python/tests/scripts/d3_deptypes.metta	2274	af77818b321a95ff	yes
python__tests__scripts__d4_type_prop.metta	python/tests/scripts/d4_type_prop.metta	5571	142acb1deebd51a2	yes
python__tests__scripts__d5_auto_types.metta	python/tests/scripts/d5_auto_types.metta	2478	0232be9da62b47b3	yes
python__tests__scripts__e1_kb_write.metta	python/tests/scripts/e1_kb_write.metta	902	03d9557bf43a869f	yes
python__tests__scripts__e2_states.metta	python/tests/scripts/e2_states.metta	3571	0c208c43f1a60672	yes
python__tests__scripts__e3_match_states.metta	python/tests/scripts/e3_match_states.metta	2383	b72ce59cd2ae7b39	yes
python__tests__scripts__f1_imports.metta	python/tests/scripts/f1_imports.metta	5004	af7a8f04573ae20d	yes
python__tests__scripts__f1_moduleA.metta	python/tests/scripts/f1_moduleA.metta	418	360f9a44748daad9	yes
python__tests__scripts__f1_moduleB.metta	python/tests/scripts/f1_moduleB.metta	282	584b920eb6f9e3a0	no
python__tests__scripts__f1_moduleC.metta	python/tests/scripts/f1_moduleC.metta	292	edfea902ccea8982	no
python__tests__scripts__g1_docs.metta	python/tests/scripts/g1_docs.metta	3613	285ccee48181dead	yes
python__hyperon__exts__agents__tests__agent.metta	python/hyperon/exts/agents/tests/agent.metta	45	b54cfa51a176af8c	no
python__hyperon__exts__agents__tests__test_0_passive_agents.metta	python/hyperon/exts/agents/tests/test_0_passive_agents.metta	808	f701804e9b377828	yes
python__hyperon__exts__agents__tests__test_4_agent1.metta	python/hyperon/exts/agents/tests/test_4_agent1.metta	378	c4d6c4553af7d4bc	yes
python__hyperon__exts__agents__tests__test_4_agent2.metta	python/hyperon/exts/agents/tests/test_4_agent2.metta	156	78fdb1bd4ec45e53	yes
python__hyperon__exts__agents__tests__test_4_events.metta	python/hyperon/exts/agents/tests/test_4_events.metta	518	64ef30117a0a2701	yes
python__hyperon__exts__snet_io__test_snet_call.metta	python/hyperon/exts/snet_io/test_snet_call.metta	2045	f96215191095e0de	no
python__hyperon__exts__snet_io__test_snet_meta.metta	python/hyperon/exts/snet_io/test_snet_meta.metta	1342	426220327162ee56	no
python__hyperon__exts__snet_io__snet__naint__text-generation.metta	python/hyperon/exts/snet_io/snet/naint/text-generation.metta	2422	fa9249e4248db60b	no
python__sandbox__test_gnd_conv.metta	python/sandbox/test_gnd_conv.metta	316	6d84531bee006013	no
python__sandbox__bhv_binding__01_example_majority.metta	python/sandbox/bhv_binding/01_example_majority.metta	199	58a06abf1545f023	no
python__sandbox__bhv_binding__02_example_perm.metta	python/sandbox/bhv_binding/02_example_perm.metta	348	3819218ffecb6a6d	no
python__sandbox__bhv_binding__03_example_dict.metta	python/sandbox/bhv_binding/03_example_dict.metta	377	8e18df259c77d94d	no
python__sandbox__bhv_binding__04_example_dollar_of_mexico.metta	python/sandbox/bhv_binding/04_example_dollar_of_mexico.metta	801	f6d8e81d3532e260	no
python__sandbox__neurospace__test_nspace.metta	python/sandbox/neurospace/test_nspace.metta	1648	91f460424e4a30c5	no
python__sandbox__resolve__r.metta	python/sandbox/resolve/r.metta	841	46db6026b732be70	no
python__sandbox__mork__test_mork.metta	python/sandbox/mork/test_mork.metta	336	51e1daa65e628d46	no
python__sandbox__numpy__nm_test.metta	python/sandbox/numpy/nm_test.metta	1257	3898c23b2abd54f2	no
python__sandbox__sql_space__sql_space_test.metta	python/sandbox/sql_space/sql_space_test.metta	1329	aa4142f64b001daa	no
python__sandbox__jetta__enum_lambda.metta	python/sandbox/jetta/enum_lambda.metta	602	c1cbd8594466fd21	no
python__sandbox__jetta__test_basic_jetta.metta	python/sandbox/jetta/test_basic_jetta.metta	2327	977986959334bf3b	yes
python__sandbox__jetta__test_expr_compile.metta	python/sandbox/jetta/test_expr_compile.metta	735	23d584ab4168f41a	yes
python__sandbox__jetta__test_lambda.metta	python/sandbox/jetta/test_lambda.metta	1367	4b698d1a213cf998	yes
python__sandbox__jetta__test_nondet.metta	python/sandbox/jetta/test_nondet.metta	701	e1da76a876c022a0	yes
python__sandbox__pytorch__tm_test.metta	python/sandbox/pytorch/tm_test.metta	4268	9953169b02237b4f	no
integration_tests__das__animals.metta	integration_tests/das/animals.metta	2002	6e99de46fcad885d	no
integration_tests__das__test.metta	integration_tests/das/test.metta	741	6d07541f0135d355	yes
repl__src__repl.default.metta	repl/src/repl.default.metta	1174	6f81c3a1d564574d	no
lib__tests__test_stdlib.metta	lib/tests/test_stdlib.metta	3952	d1813a31d02516f6	yes
lib__src__metta__runner__environment.default.metta	lib/src/metta/runner/environment.default.metta	607	c2431848833eb576	no
lib__src__metta__runner__init.default.metta	lib/src/metta/runner/init.default.metta	91	72a71d078850b0dc	no
